1063,1615,5/8/2018,Aditya Hampton,The Unwritten Fish Tavern
1064,0,11/5/2018,Zayne Francis,The Shanty
1065,1915,9/6/2018,Allison Richardson,The Aviary
1066,115,4/7/2018,Juliet Orozco,Tradition
1067,2045,7/7/2018,Kiley Macias,The Fuzy Llama Pub
1068,1900,6/28/2018,Angelica Cameron,Broken Shaker
1070,100,9/18/2018,Hayden Petersen,The Hissing Cats Tavern
1071,2245,4/15/2018,King Rodgers,Nick's English Hut
1072,1830,4/5/2018,Ahmed Cohen,The Dead Rabbit
1073,1815,9/2/2018,Malachi Guerrero,Barnacle Bar
1075,1500,11/18/2018,Landen Arroyo,Taste Bar
1076,1515,1/26/2018,Trinity Morrison,Mai Tai Bar
1077,1630,8/22/2018,Alexzander Spencer,Public House
1078,2015,3/7/2018,Jarrett Norman,Charlie Was A Sinner
108,115,4/24/2018,Stacy Estrada,The Fascinated Termite
1080,1930,8/1/2018,Matteo Li,The Obedient Lyre
1081,215,4/4/2018,Jayleen Macdonald,The Ethereal Steed Inn
1082,1415,10/6/2018,Kennedi Melton,The Detailed Horn Pub
1083,1330,1/30/2018,Raina Solomon,The Hollow Book
1084,200,7/30/2018,Hayden Petersen,Donna
1086,2145,12/11/2018,Rafael Floyd,Multnomah Whiskey Library
1087,2345,10/9/2018,Dilbar S. Turna,The Busy Anteater Pub
1088,2145,3/2/2018,Anaya Hamilton,The Dirty Wall Pub
1089,1730,7/14/2018,Kayley Guerra,The Shanty
1090,345,8/3/2018,Angel Wang,The Obnoxious Lobster Inn
1092,345,10/27/2018,Cristal Sanford,Edna's
1093,1645,5/8/2018,Ernesto Peck,Kon Tiki Lounge
1094,1630,1/14/2018,Savannah Stafford,Million Dollar Cowboy Bar
1095,130,6/12/2018,Yandel Haley,The Deep Hog Pub
1096,1445,9/15/2018,Isabel Young,Weather Up
1097,330,2/3/2018,Avah Freeman,Voodoo
1098,215,4/20/2018,Emilee Good,Please Don't Tell
1099,45,2/24/2018,Esmeralda Mendoza,Molly's Shebeen
11,1415,2/19/2018,Sarahi Ford,The Stormy Cod Bar
1100,1630,12/18/2018,Mateo Woodard,The Round Castle
1102,2300,4/5/2018,April Gould,The Bar Room
1104,200,4/30/2018,Lily Castaneda,The Old Seelbach Bar
1105,2230,10/30/2018,Eduardo Garrison,Kask
1106,1630,4/25/2018,Zoe Greer,The Lying Coyote
1107,145,10/16/2018,Jerimiah Griffith,The Hissing Cats Tavern
1108,2000,9/14/2018,Laylah Hull,The Safe Moustache
1109,1645,7/7/2018,Scarlet Dunlap,The Thoughtful Lion Pub
1111,1645,4/13/2018,Quentin Bradley,ABV
1112,115,1/30/2018,Libby Nicholson,The Well-Groomed Pumpkin Inn
1113,1815,9/1/2018,Lexie Obrien,The Fuzy Llama Pub
1114,1945,2/28/2018,Lina Shea,Tradition
1115,1530,1/8/2018,Tyrone Green,Wang Chung's Karaoke Bar
1118,2030,3/13/2018,Antony Lindsey,Bar Agricole
1119,30,7/13/2018,Macey Knapp,The Rich Beard Inn
112,1915,2/16/2018,Jasmine Jimenez,The Beachcomber
1120,1845,6/13/2018,Alanna Pratt,The Dapper Flame
1121,1800,2/22/2018,Nathanial Hernandez,Occidental
1122,2345,8/10/2018,Ella Brewer,The Shanty
1123,2345,4/8/2018,Jenny Reilly,Tommy's
1124,2030,4/7/2018,Carmelo Scott,Yvonne's
1126,1545,6/16/2018,Kameron Arias,The Greasy Scream Pub
1127,2245,6/26/2018,Yadiel Davidson,The Unwritten Fish Tavern
1129,1800,6/1/2018,Jaylen Hebert,Trick Dog
113,1215,6/12/2018,Jordon Pacheco,The Far Barrel Bar
1130,45,11/18/2018,Amir Shaffer,B.D. Riley's
1131,1645,11/27/2018,Henry Taylor,McGovern's Tavern
1132,1900,11/12/2018,Hector Mccullough,PX
1133,2115,11/18/2018,Zayne Francis,Employees Only
1135,2230,8/15/2018,Jaqueline Ritter,The Salty Twig
1137,2345,3/21/2018,Adison Pineda,The Varnish
1138,2145,3/14/2018,Logan Valentine,The Earthy Mind Pub
1139,1530,7/28/2018,Breanna Benitez,The Embarrassed Hamsters Tavern
1140,0,10/24/2018,Donovan Snow,The Tiny Chimpanzee Bar
1141,45,7/6/2018,Mareli Baker,The Salty Twig
1142,200,2/25/2018,Ivy Underwood,Leyenda
1143,200,9/24/2018,Eliza Kaufman,Johnny's Tavern
1144,1830,9/21/2018,Konner Cisneros,Galaxie
1145,1630,6/28/2018,Leroy Merritt,Monk's Cafe
1146,1845,8/2/2018,Kaylee Huber,The Frightened Kiwi Pub
1147,1500,4/9/2018,Joe Mckee,The Gigantic Child Pub
115,1645,10/6/2018,Jermaine Barr,Million Dollar Cowboy Bar
1151,30,2/3/2018,Kylie Frank,Sassafras Saloon
1152,1700,6/8/2018,Mario Rowland,The Ruthless Dawg
1153,1900,7/16/2018,Chase Wise,The Odd Snail Tavern
1154,1730,11/7/2018,Sonny Allen,The Dramatic Parrots
1158,245,2/27/2018,Theresa Matthews,Prizefighter
1159,2245,2/5/2018,Madalyn Cordova,The Cowardly Tavern
116,1630,3/18/2018,Justus Price,The Shanty
1162,2045,4/24/2018,Rylan Deleon,The Violet Hour
1163,1745,5/26/2018,Emmanuel French,The Special Turtle Pub
1164,1730,1/15/2018,Landin Hurst,The Unwritten Fish Tavern
1165,2115,6/26/2018,Agustin Carter,The Quaint Adventurer Inn
1166,1615,8/14/2018,Annalise Roth,The Fuzy Llama Pub
1167,1645,1/11/2018,Nathalie Bennett,Libertine Liquor Bar
1169,2015,7/12/2018,Regan Velasquez,Clyde Common
117,30,8/9/2018,Kiley Macias,The Reflecting Drumstick
1170,2145,7/6/2018,Kaliyah Mendez,The Impolite Dagger
1172,245,8/9/2018,Killian Mueller,Pete's Dueling Piano Bar
1173,1730,5/14/2018,Kian Mercado,The Quaint Maple
1174,1645,7/13/2018,Deshawn Steele,French 75
1175,1815,6/6/2018,Blake Holland,B.D. Riley's
1176,1900,9/6/2018,Gage Sparks,The Embarrassed Goat
1177,2030,7/29/2018,Jackson Chan,Room 11
1178,2200,9/23/2018,Evie Henson,The Reflecting Drumstick
118,2145,12/24/2018,Russell Mcdaniel,The Unusual Jackal Pub
1180,1500,10/5/2018,Mekhi Murray,The Discreet Bamboo Bar
1182,2100,10/11/2018,Quinten Michael,Cafe D'Mongo's Speakeasy
1183,1715,5/5/2018,Susan Mcneil,The Unusual Jackal Pub
1184,1400,8/5/2018,Quinton Hendricks,Cafe D'Mongo's Speakeasy
1187,1730,2-30-2018,Amiah Potts,Pengilly's Saloon
119,0,8/10/2018,Tessa Sweeney,The Superb Drum Bar
1190,1730,3/17/2018,Gordon Barker,Brimmer & Heeltap
1191,1845,5/28/2018,Adelyn May,The Marvelous Puppy Inn
1192,2200,10/17/2018,Ivan Howe,The Whimsical Zebra Pub
1194,2045,5/17/2018,Thomas Peterson,The Carousel Bar
1196,1615,10/16/2018,Jasiah Calderon,Taste Bar
1197,2145,3/6/2018,Frank Kelly,The Left Scream Pub
1198,145,10/9/2018,Jillian Fuller,Death & Company
1199,1915,12/8/2018,Amy Lynn,Proof
120,1915,4/15/2018,Cordell Orr,Wang Chung's Karaoke Bar
1200,2345,3/18/2018,Genesis Frye,The Hissing Cats Tavern
1201,1600,6/15/2018,Ahmed Cohen,The Frightened Kiwi Pub
1202,2330,1/5/2018,Penelope Rojas,The Daily Hamster Inn
1205,1515,12/26/2018,Dana Ferguson,Tommy's
1206,1400,1/7/2018,Nathanial Hernandez,The Unwritten Fish Tavern
1207,1800,1/6/2018,Paris Jacobs,The Special Turtle Pub
1208,1845,7/20/2018,Layton Howard,The Obedient Lyre
1209,245,2/4/2018,Darrell Vance,Dutch Kills
121,1815,2/19/2018,Delilah Krueger,The Alien Knife Tavern
1210,1615,11/19/2018,Megan Barron,The Fuzy Goat Pub
1211,1830,4/26/2018,Jameson Gross,Sassafras Saloon
1212,15,7/3/2018,Madelynn Ryan,The Upstairs Bar
1215,2345,8/22/2018,Savannah Stafford,Dutch Kills
1216,300,3/25/2018,Jaden Shields,Apotheke
1217,45,5/15/2018,Myles Johns,The Baldwin
1218,1345,3/15/2018,Alyson Whitaker,Tiki-Ti
122,2015,1/8/2018,Lacey Maddox,B.D. Riley's
1220,1430,8/29/2018,Kaeden Richard,Beach Tree Bar
1221,100,1/20/2018,Jakob Morrow,McGreevy's
1222,2130,11/17/2018,Micheal Barrett,George & Dragon
1223,1845,2/17/2018,Lamar Marshall,The Silver Dollar
1225,215,9/2/2018,Kymani Nixon,Mai Tai Bar
1226,2230,10/26/2018,Alyson Whitaker,Clyde Common
1227,2000,12/2/2018,Phillip Wilson,The Bar Room
1228,2300,10/20/2018,Gloria Mills,Square Grouper Tiki Bar
1229,45,6/27/2018,Finnegan Lara,Kon Tiki Lounge
123,1530,10/27/2018,Myles Johns,Ye Olde Gentlewoman Tavern
1233,2230,6/14/2018,Gwendolyn Mccoy,The First Sharks Tavern
1234,1415,6/2/2018,Isabell Dillon,Broken Shaker
1235,45,8/13/2018,Carolina Bates,The Electric Chicken
1236,2100,5/10/2018,Zavier Rios,Billy Sunday
1237,1545,1/14/2018,Heath Leon,Altitude Sky Lounge
1238,1730,2-30-2018,Lilia Nolan,The German Table Tavern
1239,2130,10/14/2018,Maryjane Leach,The Whispering Giant Tavern
1240,1915,2/2/2018,Ryleigh Davies,Multnomah Whiskey Library
1241,2000,9/26/2018,Dominick Howell,Everson Royce Bar
1242,1830,6/2/2018,Aidyn Coffey,Sweet Liberty
1243,1430,7/22/2018,Tyree Cabrera,Milk Room
1244,2115,11/9/2018,Francesca Werner,The Precious Apples Bar
1245,1415,9/10/2018,Leilani Carpenter,Broken Shaker
1247,1400,5/10/2018,Allison Richardson,The Shanty
1248,2030,1/10/2018,Shamar Mcclain,The Smart Child Tavern
1251,1930,7/11/2018,Helen Oliver,The Far Away Llama
1252,2100,9/23/2018,Adeline Durham,Bar Crudo
1254,30,12/26/2018,Rayne Bowman,Multnomah Whiskey Library
1255,45,2/9/2018,Delilah Krueger,The Well-Groomed Pumpkin Inn
1256,130,12/17/2018,Baron Aguilar,Lost Lake
1258,2015,8/1/2018,Isabella Flynn,Milk Room
126,1330,9/29/2018,Alessandro Potter,Please Don't Tell
1260,2300,6/4/2018,Morgan Noble,The Different Lemon Inn
1261,1530,2/13/2018,Chasity Copeland,Wang Chung's Karaoke Bar
1262,1830,1/5/2018,Joel Haney,Pete's Dueling Piano Bar
1263,2330,10/23/2018,Kaden James,Old Ebbitt Grill
1264,2200,5/19/2018,Howard Cross,McGillin's Old Ale House
1265,1715,9/15/2018,Allison Richardson,The Impolite Dagger
1266,1930,2-30-2018,Belen Kerr,The Carousel Bar
1268,1215,4/13/2018,Wesley Keller,Clyde Common
127,1530,11/25/2018,Myla Lam,Prairie School
1270,145,9/22/2018,Jacoby Mata,Prairie School
1271,2215,3/30/2018,King Rodgers,The Greasy Scream Pub
1272,2345,12/23/2018,Tripp Ray,The Polo Lounge
1273,1830,11/1/2018,Skylar Hardy,The Itchy Ants Inn
1274,1615,7/13/2018,Amiyah Munoz,Yvonne's
1276,1515,12/29/2018,Christopher Manning,The Itchy Ants Inn
1277,2330,11/5/2018,Alexzander Spencer,The Tiny Chimpanzee Bar
1278,1800,10/8/2018,Russell Mcdaniel,The Lying Coyote
128,1930,7/17/2018,Carson Williams,ROKC
1281,1915,6/21/2018,Dominic Dennis,The Reflecting Drumstick
1282,30,9/13/2018,Annabelle Walls,Cannon
1284,1915,12/22/2018,Hugo Greene,Social
1285,15,12/18/2018,Lyric Odom,Charlie Was A Sinner
1286,2330,5/30/2018,Micheal Barrett,The Quaint Adventurer Inn
1288,1800,10/22/2018,Alfonso Harrington,Blackberry Farm
1289,1600,8/12/2018,Bianca Graves,Dram & Grain
129,1530,7/30/2018,Matteo Li,The Itchy Ants Inn
1290,1500,2-30-2018,Deven Gonzalez,Johnny's Tavern
1292,1645,6/4/2018,Giselle Logan,The Whispering Mushroom Bar
1293,2315,4/8/2018,Raphael Wong,The Alien Elephant Seal Inn
1294,2230,5/23/2018,Kylie Frank,The Discreet Bamboo Bar
1295,1515,11/20/2018,Kiley Macias,Everson Royce Bar
1296,145,9/4/2018,Chloe Huang,Robert's Western World
1297,230,12/16/2018,Eliezer Lawrence,French 75
1299,1930,4/20/2018,Rebecca Jenkins,Range
13,45,9/1/2018,Deshawn Steele,The Obnoxious Lobster Inn
130,2345,3/28/2018,Porter Moreno,French 75
1301,1315,3/22/2018,Malakai Randolph,The Dirty Wall Pub
1302,1900,6/11/2018,Ulises Padilla,The Lively Tusk Bar
1303,2315,1/29/2018,Ayanna Mcguire,The Kind Planet Pub
1304,1500,6/22/2018,Ahmed Cohen,McMahon's Public House
1305,2300,7/1/2018,Anderson Haas,The Far Away Llama
1306,2000,6/4/2018,Briana Buck,Spilt Milk
1307,1645,2/5/2018,Ada Nichols,The Fascinated Termite
1308,1830,12/7/2018,Logan Valentine,McGillin's Old Ale House
131,2230,3/22/2018,Ashleigh Ramirez,The Molten Llama
1310,115,1/13/2018,Dakota Wall,Marvel Bar
1311,1930,9/21/2018,River Higgins,The Well-Groomed Pumpkin Inn
1313,1700,11/8/2018,Jacoby Mata,The Obedient Lyre
1314,1400,9/28/2018,Harper Moses,Prairie School
1315,1945,7/26/2018,Jaeden Randall,The Precious Apples Bar
1316,1615,10/25/2018,Adyson Sanders,Vesper Bar
1317,1530,5/22/2018,Danica Bean,Charlie B's
1318,2015,12/27/2018,Ivan Howe,Proof
132,130,1/27/2018,Susan Mcneil,Bar Crudo
1320,1615,5/23/2018,Issac Rhodes,The Office
1321,2200,11/27/2018,Kaeden Richard,Tiny's Bar
1323,1815,2/17/2018,Dakota Wall,The Kind Planet Pub
1324,2130,1/17/2018,Jordon Pacheco,Please Don't Tell
1326,230,3/20/2018,Aidan Dean,Multnomah Whiskey Library
1327,1545,10/30/2018,Braeden Rivas,Ye Olde Seagulls Tavern
1328,115,10/1/2018,Zaid Brady,The Whimsical Cheese Bar
1329,1915,1/14/2018,Lennon Daniel,33 Taps
133,1530,1/19/2018,Gracelyn Ward,The Hollow Worm Pub
1330,1300,3/5/2018,Quentin Bradley,French 75
1331,1400,8/23/2018,Donovan Snow,The Kind Planet Pub
1332,2315,7/10/2018,Rodney Kemp,The Gigantic Child Pub
1334,2000,2/6/2018,Isaias Johnston,The Alembic
1336,1730,8/22/2018,Gracelyn Ward,The Impolite Dagger
1337,2100,3/1/2018,Reed Campbell,The Porter Beer Bar
1338,1645,8/18/2018,Kirsten Anthony,Red Key Tavern
1339,1815,2/6/2018,Londyn Harding,The Diamond Star Bar
134,1845,7/10/2018,Joslyn Houston,Donna
1340,2100,2/14/2018,Maliyah Spence,The Greasy Scream Pub
1341,2130,7/9/2018,Miranda Robinson,The Better Princess Pub
1342,1930,1/5/2018,Elisha Weaver,Milk Room
1343,2200,2/28/2018,Jeffery Sosa,The Different Lemon Inn
1345,45,5/21/2018,Trinity Morrison,The Magdalenae Room
1346,1515,10/16/2018,Layton Howard,Holeman & Finch Public House
1348,1700,4/5/2018,Nora Wolfe,Raven & Rose
1349,345,5/6/2018,Scott Wilkinson,Sassafras Saloon
135,1830,11/12/2018,Noe Harrell,Prairie School
1351,2315,10/2/2018,Chase Wise,Charlie Was A Sinner
1353,100,1/29/2018,Jenna Villarreal,The Kind Planet Pub
1354,2300,4/17/2018,Sara Bartlett,Callaghan's Irish Social Club
1358,1430,8/21/2018,Kylee Adkins,The Dubliner
1359,30,11/24/2018,Elle Case,Distil
1361,1545,8/4/2018,Demarion Gentry,The Lying Coyote
1363,1945,7/19/2018,Amiah Potts,Slowly Shirley
1364,1945,6/21/2018,Amina George,Pengilly's Saloon
1366,2215,5/7/2018,Kevin Buchanan,The Upstairs Bar
1367,115,5/23/2018,Jasiah Calderon,Sweet Liberty
1369,1315,9/4/2018,Kellen Mitchell,Brimmer & Heeltap
137,1400,6/12/2018,Isabel Young,The Frightened Kiwi Pub
1370,1645,1/26/2018,Kieran Barber,The Aggressive Piano Tavern
1371,100,10/25/2018,Dominick Howell,The Obedient Lyre
1372,2000,1/18/2018,Jayleen Macdonald,Pete's Dueling Piano Bar
1373,1545,6/11/2018,Aydan Beck,McGreevy's
1374,1630,10/21/2018,Cara Bender,Donna
1375,1845,9/29/2018,Nelson Whitehead,Dante
1376,1530,6/23/2018,Maximus Montes,Barnacle Bar
1377,2000,1/27/2018,Mario Rowland,King Cole Bar
1379,2130,12/17/2018,Jazlynn Thomas,AIDA Bistro & Wine Bar
1380,145,3/20/2018,Zayne Francis,The Obedient Lyre
1381,315,1/26/2018,Nicole Kaiser,Edna's
1383,1845,11/26/2018,Kevin Buchanan,French 75
1384,1615,2/22/2018,Luis Tyler,The Pointless Rhododendron Inn
1385,2230,6/30/2018,Rhianna Riggs,Raven & Rose
1387,2030,2/25/2018,Olive Lloyd,Bit House Saloon
1388,2315,6/23/2018,Kathy Alexander,The Silver Dollar
1390,1515,7/8/2018,Felicity Meadows,Mai Tai Bar
1391,1845,5/5/2018,Matteo Li,Wang Chung's Karaoke Bar
1392,1945,1/30/2018,Zack Molina,Clover Club
1393,1715,5/2/2018,Demarcus Davila,Slowly Shirley
1394,1745,8/12/2018,Julianne Burnett,The Annoying Shark
1395,1830,5/19/2018,Aryan Farmer,The Defeated Angel Pub
1396,1745,6/10/2018,Gia Rasmussen,Kon Tiki Lounge
1397,1600,11/27/2018,Addisyn Dominguez,The Terrible Cave Bar
1398,1215,11/10/2018,Alfredo Sandoval,Clyde Common
1399,1800,9/1/2018,Jenna Villarreal,Edna's
14,2015,10/3/2018,Jarrett Norman,The Beautiful Snowdrop Tavern
140,1630,4/3/2018,Kylie Frank,The Ethereal Steed Inn
1401,1430,1/30/2018,Ayanna Mcguire,Voodoo
1402,1315,4/18/2018,Davon Oneill,Tiki-Ti
1403,2100,3/14/2018,Vincent Santos,The Far Away Llama
1404,2100,7/1/2018,Brian Fleming,Holeman & Finch Public House
1405,1715,2/11/2018,Alejandra Yu,The Thoughtful Lion Pub
1406,2245,12/26/2018,Raven Roman,Galaxie
1407,1500,1/14/2018,Konner Cisneros,Donna
1408,1900,3/3/2018,Jaliyah Klein,The No Mad Bar
1409,30,12/7/2018,Zoe Greer,The Daily Hamster Inn
141,2030,6/20/2018,Jax Ayala,Goodnight Gracie
1410,1700,4/21/2018,Elisa Casey,The Merciful Lavender
1411,2215,9/1/2018,Dania Choi,Dick's Place
1412,1730,1/11/2018,Joy Sutton,The Dubliner
1413,145,6/23/2018,Adelaide Little,Julep
1414,1715,11/14/2018,Ayden Arellano,The Whispering Mushroom Bar
1415,2200,11/19/2018,Bella Garcia,The Ruthless Dawg
1416,1915,5/19/2018,Isis Leblanc,The Fuzy Llama Pub
1417,1900,11/19/2018,August Phelps,Voodoo
1418,30,1/22/2018,Tess Shah,Gooski's
1419,2015,8/3/2018,Heaven Bowers,The Polo Lounge
142,2115,9/3/2018,Mariah Quinn,Death & Company
1420,1315,9/9/2018,Wesley Keller,Million Dollar Cowboy Bar
1421,2030,8/21/2018,Leon Berry,The Ethereal Steed Inn
1422,1945,10/27/2018,Conrad Shepherd,Kon Tiki Lounge
1423,1815,10/17/2018,Nathanael Love,The Dark Melon Tavern
1424,2345,11/25/2018,Jaron Dyer,The Marvelous Puppy Inn
1425,1845,3/18/2018,Alena Lucas,The Electric Chicken
1426,1415,1/11/2018,Jaron Dyer,The Lean Steed Tavern
1427,2030,2/17/2018,Byron Spears,The Sound Table
1428,1915,6/10/2018,Camilla Boyle,The Obnoxious Lobster Inn
1429,1815,12/14/2018,Clinton Cunningham,The Deep Hog Pub
143,1500,10/21/2018,Desmond Marsh,Slowly Shirley
1430,1830,9/20/2018,Hector Mccullough,Old Ebbitt Grill
1431,1800,5/1/2018,Christina Galvan,Seamstress
1433,2315,6/23/2018,Keyla Mcdowell,The Shaking Leg Tavern
1434,1700,6/28/2018,Shania Jennings,The Wet Grape Tavern
1435,1645,12/1/2018,Cooper Franklin,The Fuzy Llama Pub
1436,1900,11/22/2018,Christina Galvan,Sweet Liberty
1437,1815,8/1/2018,Mario Rowland,Anvil Bar & Refuge
1438,1330,2/14/2018,Tony Yang,Tradition
1439,1815,10/6/2018,Jasiah Calderon,ROKC
144,1515,2/25/2018,Khalil King,The Fine Lobster Bar
1440,1830,5/23/2018,Saniyah Brown,Bar Crudo
1441,2330,10/8/2018,Anika Trujillo,Nick's English Hut
1442,1915,2/12/2018,Camryn Whitney,Tiki-Ti
1445,2330,5/24/2018,Ethen Craig,The Brewer's Art
1446,1845,2/21/2018,Axel Bautista,The Capital Bar
1447,1615,12/5/2018,Irene Zimmerman,Billy Sunday
1448,2245,7/7/2018,Sydney Heath,Julep
145,1800,1/29/2018,Giana Osborne,Billy Sunday
1450,1745,3/16/2018,Evie Henson,McGillin's Old Ale House
1451,1830,8/10/2018,Heath Leon,Tommy's
1453,1900,10/30/2018,Micheal Barrett,The Far Away Llama
1454,1830,8/10/2018,Natalya Hart,Clyde Common
1455,2115,11/25/2018,Amiyah Munoz,The Marvelous Puppy Inn
1456,2000,12/14/2018,Johanna Murillo,Distil
1457,1545,12/16/2018,Shamar Mcclain,Bar Crudo
1458,1930,7/6/2018,Russell Mcdaniel,The Hissing Cats Tavern
1459,200,4/7/2018,Nikolas Sawyer,The Reflecting Drumstick
146,230,5/2/2018,Alan Reed,Bar Liquorice
1460,1745,10/28/2018,Ryan Diaz,Sassafras Saloon
1461,1530,9/15/2018,Tabitha Velez,Clyde Common
1462,2100,5/13/2018,Luca Gibbs,The Dark Melon Tavern
1463,2000,12/23/2018,Weston Vasquez,McSorley's Old Ale House
1464,2130,7/12/2018,Leonardo Jones,Frankie's Downtown
1465,245,5/21/2018,Dania Choi,The Dark Melon Tavern
1468,15,2/6/2018,Kianna Wade,Spilt Milk
147,1900,7/15/2018,Dayana Oconnor,The Stormy Cod Bar
1472,1900,2/4/2018,Jaron Dyer,Sazerac Bar
1475,1530,1/6/2018,Axel Bautista,King Cole Bar
148,1615,10/23/2018,Zoe Greer,Mace
1480,2045,12/7/2018,Gage Sparks,Nick's English Hut
1481,1500,5/5/2018,Jamarcus Payne,Galaxie
1482,2000,6/4/2018,Anya Jarvis,The Capital Bar
1484,2230,6/26/2018,Adalyn Goodwin,The Dirty Wall Pub
1485,1900,5/5/2018,Caleb Stone,King Cole Bar
1488,2230,8/7/2018,Kaitlin Duncan,The Lean Steed Tavern
149,2330,1/10/2018,Maurice Shaw,The Quaint Rats
1490,2345,11/15/2018,Jax Ayala,The Old Seelbach Bar
1491,200,12/5/2018,Cristal Sanford,The Quaint Maple
1492,2230,7/22/2018,Esperanza Rubio,Frankie's Downtown
1493,15,10/9/2018,Aron Hatfield,Brimmer & Heeltap
1494,300,1/28/2018,Warren Serrano,The Frightened Kiwi Pub
1495,1945,6/1/2018,Angelica Cameron,The Unusual Jackal Pub
1496,2045,10/9/2018,Bentley Owens,Salty Dawg Saloon
1497,1700,11/29/2018,Sebastian Fisher,Holeman & Finch Public House
1498,1715,2/12/2018,Allie Cantrell,The Electric Chicken
1499,1400,3/16/2018,Kali Nash,Beach Tree Bar
15,1945,3/6/2018,Camryn Whitney,The Fascinated Termite
1500,0,1/3/2018,Kasey Browning,Taste Bar
1502,1415,11/17/2018,Larissa Wyatt,The Gigantic Child Pub
1504,45,8/22/2018,Karly Costa,The Tricky Curry Tavern
1505,2245,11/5/2018,Kenna Wood,Slowly Shirley
1506,1515,4/2/2018,Brennan Jefferson,The Whispering Mushroom Bar
1507,130,3/7/2018,Karter Fletcher,Tradition
1508,15,4/21/2018,Malcolm Espinoza,Academia
151,2015,12/13/2018,Isabel Young,Ye Olde Gentlewoman Tavern
1510,2145,12/13/2018,Tristian Riddle,The Whimsical Zebra Pub
1512,0,7/10/2018,Camilla Boyle,Distil
1513,1815,11/10/2018,Krish Fry,Robert's Western World
1515,1830,3/4/2018,Konner Cisneros,Cafe D'Mongo's Speakeasy
1516,1630,5/14/2018,Lillie Jackson,The Polo Lounge
1517,2115,12/16/2018,Bailey Hensley,The Rich Beard Inn
1518,2200,6/15/2018,Anaya Hamilton,Julep
1522,2300,9/7/2018,Alissa Mckinney,The Reflecting Drumstick
1524,1830,3/19/2018,Ulises Padilla,Beach Tree Bar
1525,2245,3/19/2018,Tori West,Clyde Common
1526,2315,8/24/2018,Jorden Tran,ABV
1528,215,6/5/2018,Demetrius Esparza,Spilt Milk
1529,130,5/28/2018,Chase Wise,The Quaint Maple
153,1715,6/8/2018,Selah Patrick,The Ethereal Steed Inn
1531,0,10/19/2018,Payten Petty,The Precious Apples Bar
1532,2345,4/28/2018,Maddison Robbins,The Reflecting Drumstick
1533,215,4/21/2018,Penelope Rojas,The Upstairs Bar
1534,2245,10/5/2018,Santiago Humphrey,Occidental
1535,1915,8/8/2018,Romeo Charles,The Twin Stream Tavern
